start,end,VAR00003,location,age,education,illiterateReason,address,schoolLeakage,workingStatus,socialStatus,ageOfMarriage,reasonOfMarriage,pregnant,disability,typeOfDisability,livingWithFamily,whereDoYouLive,whyLivingOutsideFamily,Version,ID,UUID,SubmissionTime,Index,gazaOrWestBank,type
2017-12-12T16:54:11.651+08,2017-12-12T16:55:20.885+08,null,Al Ram,15 - 16,Basic education,Family force,Village,Yes,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298380,260fd1d2-8a0b-4d29-a5d9-f55a8322fddd,2017-12-12T10:50:31,1,West Bank,adolescentGirls
2017-12-12T16:56:10.510+08,2017-12-12T16:56:54.120+08,null,Al Ram,15 - 16,Illiterate,Marriage,Village,No,Unemployed,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298383,0b6e85fe-c199-4226-90c6-5023e7ae9990,2017-12-12T10:50:32,2,West Bank,adolescentGirls
2017-12-12T16:58:53.760+08,2017-12-12T16:59:43.426+08,null,Al Ram,15 - 16,Illiterate,Family force,Village,No,Unemployed,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298384,6ae19402-f71c-46cd-8dea-b1188d72d296,2017-12-12T10:50:32,3,West Bank,adolescentGirls
2017-12-12T17:06:39.595+08,2017-12-12T17:07:17.295+08,null,Al Ram,15 - 16,Basic education,Family force,Village,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298388,b3815cea-33f4-4d9a-9d19-7a89c280b11b,2017-12-12T10:50:33,4,West Bank,adolescentGirls
2017-12-12T17:07:45.714+08,2017-12-12T17:08:23.110+08,null,Al Ram,15 - 16,Basic education,Family force,Village,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298390,3763b461-aa75-41fa-be7a-d50f8122ebc1,2017-12-12T10:50:34,5,West Bank,adolescentGirls
2017-12-12T17:08:27.173+08,2017-12-12T17:09:12.055+08,null,Al Ram,17 - 18,Secondary education,Family force,Village,No,Student,Single,22 - 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298392,4bfa667c-1c61-43ad-9d89-83fd7a8587c6,2017-12-12T10:50:35,6,West Bank,adolescentGirls
2017-12-12T16:25:22.776+08,2017-12-12T16:25:58.587+08,null,Al Ram,15 - 16,Basic education,Family force,Village,No,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298366,4e358d12-6d28-4147-80c2-d62bd50467e3,2017-12-12T10:50:21,7,West Bank,adolescentGirls
2017-12-12T16:26:04.560+08,2017-12-12T16:26:33.589+08,null,Al Ram,15 - 16,Basic education,Marriage,Village,Yes,Student,Single,19 - 21,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298367,e18e4eac-51ba-45cb-9216-bf85e2b6fe88,2017-12-12T10:50:22,8,West Bank,adolescentGirls
2017-12-12T16:26:41.365+08,2017-12-12T16:27:36.661+08,null,Al Ram,15 - 16,Basic education,Illness,Village,Yes,Student,Married,22 - 25,Your choice,No,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298368,d8b77bb9-c644-4cd2-8ca5-55411e4c601b,2017-12-12T10:50:22,9,West Bank,adolescentGirls
2017-12-12T16:27:39.992+08,2017-12-12T16:28:22.098+08,null,Al Ram,15 - 16,Basic education,Family force,Village,No,Student,Single,More than 25,null,null,No,null,Yes,null,null,vBfZBbTvzh8aQdmbds9u87,7298369,d70559bd-88e0-4476-a6e6-d53ca27f7077,2017-12-12T10:50:23,10,West Bank,adolescentGirls
