start,end,VAR00003,location,gender,age,education,statusOfAsylum,illiteracyReason,socialStatus,address,doYouLiveWith,orphan,incomeProvider,HowDoyouSpendFreeTime,typeOfWork,reasonOfWork,numberOfFamilyMembers,workingHoursPerWeek,formOfWork,dailyIncome,howMuchDoYouGiveFamily,version,id,uuid,submissionDate,index,gazaOrWestBank,type
2017-12-07T11:00:11.241+02,2017-12-07T11:02:48.990+02,null,null,Male,10-14,Basic education,Refugee,Failure in education,null,City,null,null,Father,With peers in the neighborhood,null,null,9 or more,7_9,null,31 - 50 NIS,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7188436,1dc1c719-8e4a-4577-acb9-85fdbad0b675,2017-12-07T10:29:41,1,null,childrenLabor
2017-12-07T11:07:09.117+02,2017-12-07T11:10:00.333+02,null,null,Male,10-14,Basic education,Refugee,Failure in education,null,City,null,null,Father,Wandering in the streets,null,null,6 - 8,10_20,null,Less than 30 NIS,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7188438,5e18fefa-38cb-4567-a126-001c623a4487,2017-12-07T10:29:42,2,null,childrenLabor
2017-12-07T11:10:52.781+02,2017-12-07T11:19:39.837+02,null,null,Male,10-14,Basic education,Refugee,Failure in education,null,Village,null,null,Father,With peers in the neighborhood,null,null,6 - 8,10_20,null,Less than 30 NIS,0 – 10%,vtZeBwBKkszKRou8bXkRgG,7188439,811be913-7897-44b5-bdb1-6a9fd2df5d3e,2017-12-07T10:29:43,3,null,childrenLabor
2017-12-07T12:00:32.048+02,2017-12-07T12:03:31.194+02,null,null,Male,15-16,Basic education,Refugee,Failure in education,null,Village,null,null,Father,With peers in the neighborhood,null,null,6 - 8,7_9,null,31 - 50 NIS,31 – 50%,vtZeBwBKkszKRou8bXkRgG,7188445,84c8f0a0-cce4-49ce-ba28-eb37473d99e6,2017-12-07T10:29:45,4,null,childrenLabor
2017-12-07T12:04:03.544+02,2017-12-07T12:07:10.289+02,null,null,Male,15-16,Basic education,Refugee,Failure in education,null,Village,null,null,Father,With peers in the neighborhood,null,null,9 or more,7_9,null,31 - 50 NIS,11 – 30%,vtZeBwBKkszKRou8bXkRgG,7188446,6c75a547-2653-4f07-a03b-24d52110652f,2017-12-07T10:29:45,5,null,childrenLabor
2017-12-07T20:03:59.265+02,2017-12-07T20:05:55.976+02,null,null,Male,15-16,Basic education,Refugee,Failure in education,null,Village,null,null,Father,With peers in the neighborhood,null,null,6 - 8,7_9,null,Less than 30 NIS,11 – 30%,vtZeBwBKkszKRou8bXkRgG,7210928,ad6730fe-e686-4071-8f55-0f7d0ce52935,2017-12-08T10:28:51,6,null,childrenLabor
2017-12-07T20:06:00.123+02,2017-12-07T20:07:03.717+02,null,null,Male,10-14,Basic education,Refugee,Failure in education,null,Village,null,null,Father,Wandering in the streets,null,null,9 or more,10_20,null,31 - 50 NIS,11 – 30%,vtZeBwBKkszKRou8bXkRgG,7210929,3fd1a0f1-9409-4c45-af95-b98e7b7a91ba,2017-12-08T10:28:52,7,null,childrenLabor
2017-12-07T20:10:00.491+02,2017-12-07T20:11:18.293+02,null,Araba Village,Male,null,Secondary education,Refugee,Failure in education,null,Village,null,null,Father,With peers in the neighborhood,null,null,6 - 8,7_9,null,71 - 90 NIS,11 – 30%,vtZeBwBKkszKRou8bXkRgG,7210931,d4608ac2-be6b-4609-898b-c009ba195b9c,2017-12-08T10:28:53,8,West Bank,childrenLabor
2017-12-07T20:11:59.435+02,2017-12-07T20:13:09.073+02,null,null,Male,15-16,Basic education,Refugee,Failure in education,null,Village,null,null,Father,Wandering in the streets,null,null,9 or more,10_20,null,More than 90 NIS,31 – 50%,vtZeBwBKkszKRou8bXkRgG,7210932,cc5193fc-96c5-4b6b-b8bb-29835412fe65,2017-12-08T10:28:54,9,null,childrenLabor
2017-12-09T13:33:43.338+02,2017-12-09T13:37:09.340+02,null,Kufur Ne'mah,Male,17-18,Secondary education,Not a refugee,null,Single,Village,With the family,No,Other,Coffee shops,Other,Other,6 - 8,null,Daily paid,null,More than 50 %,vUPviiSFzREn4prB5mMYoB,7231800,039eb37a-a62e-4f97-8559-c67f106e80be,2017-12-09T14:34:01,10,West Bank,childrenLabor
